dt,Durazno,Sarandi_del_yi,Polanco_del_yi,Sarandi_del_Yi_level,Durazno_level,Polanco_level,Sarandi_del_Yi_precipitation,Polanco_precipitation,Durazno_precipitation,Precipitaciones_IMERG_Durazno,Precipitaciones_MERRA_Durazno,Precipitaciones_IMERG_Polanco_del_Yi,Precipitaciones_MERRA_Polanco_del_Yi,Precipitaciones_IMERG_Sarandi_del_Yi,Precipitaciones_MERRA_Sarandi_del_Yi,humedad_suelo,Temperatura,ET
9/24/19,0.0,0.0,0.0,1.5,1.62,3.29,0.0,0.0,0.0,0.0,2.6999999999999997e-24,0.0,2.6999999999999997e-24,0.0,4.7600000000000003e-26,0.3369914022759802,16.724675016726913,3.407655631399675
2/28/20,0.0,0.0,0.0,1.1,0.0,1.6,0.0,0.0,0.0,0.0,8.25e-06,0.013135381,8.25e-06,0.0,3.54e-08,0.21512130001656854,9.105224829818422,2.616395807017669
1/5/18,0.001,0.0,0.002,1.02,0.0,1.56,0.0,0.0,0.0,4.09859943,0.00055593,2.90263033,0.00055593,7.45595264,0.000341877,0.2744230500495548,15.31157051146882,3.1442822764587572
2/7/17,0.0,0.0,0.0,1.16,0.75,3.19,0.0,0.0,0.0,0.0,2.95e-05,0.0,2.95e-05,0.0,0.00156574,0.30554138245467344,10.521295318771662,2.925132315463081
3/25/18,0.003,0.004,0.004,0.98,0.0,1.35,12.0,0.0,11.0,30.5060596,0.062763691,5.78106213,0.062763691,7.78068924,0.030255318,0.2457260494934613,18.889406272967957,3.052321127048189
8/9/17,0.0,0.0,0.0,1.91,2.97,3.85,0.0,0.0,0.0,0.0,0.025051832,0.0,0.025051832,0.0,0.030268729,0.23646731390935954,18.758488889137993,3.30409931543967
7/22/16,0.0,0.0,0.0,1.27,2.09,3.75,0.0,0.0,0.0,0.0,0.09816885,0.000235391,0.09816885,0.0,0.281202793,0.2527246941599366,22.31393744772798,2.832377160629854
5/28/20,0.0,0.0,0.0,1.59,1.53,3.56,0.0,0.0,0.0,0.0,4.28e-07,0.0,4.28e-07,0.0,0.002621021,0.2691259374792045,16.697775736174748,3.701780798349784
9/1/18,0.001,0.002,0.004,4.75,5.8,6.46,7.0,0.0,6.0,1.40853,0.006730668,0.261964172,0.006730668,0.077352621,5.36e-08,0.31028016392602836,15.057277208539722,2.2182725869697983
5/25/17,0.025,0.047,0.014,1.37,2.94,3.92,2.0,14.0,7.0,16.327528,6.19e-06,56.8253021,6.19e-06,31.2040615,2.71e-05,0.3303501415918873,12.610663729195993,3.3212147381748385
7/24/18,0.0,0.0,0.0,3.3825,5.83,7.24,0.0,0.0,0.0,0.011713174,4.34e-05,0.002174144,4.34e-05,0.002448167,0.00274675,0.2416166125591644,16.694712467305965,2.6772234104779944
7/14/19,0.0,0.0,0.0,1.48,0.85,2.8,0.0,0.0,0.0,0.0,0.001261057,0.0,0.001261057,0.0,0.001587952,0.27272876532940454,18.281261083348454,2.706003821567011
8/1/19,0.004,0.005,0.0,1.7,3.14,4.27,1.0,0.0,0.0,3.19468856,8.05e-08,2.3168776,8.05e-08,4.31184006,4.11e-07,0.2300477145200904,26.775382507751605,3.4497287481657857
1/17/20,0.0,0.0,0.0,1.115,0.78,1.49,0.0,0.0,0.0,0.0,7.08e-10,0.0,7.08e-10,0.0,8.09e-08,0.3430670303655723,16.885156032568567,3.113100575412576
12/22/18,0.0,0.0,0.0,2.03,6.82,6.4,0.0,0.0,0.0,0.0,0.088137388,0.0,0.088137388,0.0,0.043357909,0.19125720723280748,26.05354518203948,2.640935372815035
2/5/16,0.0,0.0,0.0,1.1,0.0,1.47,0.0,0.0,0.0,0.0,0.04477948,0.0,0.04477948,0.0,0.054569542,0.27033005569951735,20.945158897981294,3.4051500909920933
5/27/15,0.0,0.0,0.0,1.27,0.0,1.54,0.0,0.0,0.0,7.41204596,0.084248185,5.08181763,0.084248185,13.9490118,0.103077292,0.30036769667121316,23.04775539982067,2.278014280610368
12/9/16,0.0,0.0,0.0,1.17,0.29,2.06,0.0,0.0,0.0,0.0,1.97e-06,0.0,1.97e-06,0.0,2.85e-06,0.18600010503711928,17.533183194676347,3.191293415634858
12/23/17,0.006,0.002,0.011,1.12,0.0,1.5,0.0,0.0,7.0,3.64240575,0.002399739,6.5712285,0.002399739,6.93226576,0.005109608,0.2394689285969835,14.39035620376739,2.6900387962184142
1/25/19,0.0,0.0,0.003,1.31,3.16,4.19,0.0,0.0,0.0,0.041620314,0.13217926,0.090863302,0.13217926,0.109733991,0.003439933,0.23873907266648686,14.73916360161514,3.080996962704174
9/6/17,0.0,0.0,0.0,4.3,6.49,7.13,0.0,0.0,0.0,0.0,0.005845539,0.0,0.005845539,0.0,0.013387576,0.12172497503470339,14.776801021673826,2.569560957837095
8/29/17,0.051,0.043,0.012,3.32,7.57,8.23,20.0,15.0,16.0,30.3359718,0.002537202,38.1401901,0.002537202,31.3657112,0.001989026,0.18789822960437536,21.600690094150686,2.4006183643083188
5/14/15,0.0,0.0,0.0,1.26,0.0,1.42,0.0,0.0,0.0,0.0,0.163507462,0.0,0.163507462,0.0,0.116783381,0.2694817417894015,18.558271519542522,2.5199270290831826
7/10/15,0.001,0.0,0.001,0.96,0.0,1.51,0.0,0.0,0.0,0.049025141,1.03e-05,0.758704305,1.03e-05,0.377899796,3.28e-07,0.21415571205873069,26.491904522553046,3.4360148781313256
